indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
341,NCT04390022,Frequency SARS-CoV-2-specific CD4+ T and and CD8+ T Cells,NA,NA,NA,CD4+,CD4+,['CD4+'],Time Frame: Baseline ,3020073,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Specimen,Measurement,outcome_286
342,NCT04390022,Results From Cytokine Human Magnetic 30-Plex Panel,NA,NA,NA,Cytokine Human Magnetic 30-Plex Panel ,Cytokine Human Magnetic 30-Plex Panel ,['Cytokine Human Magnetic 30-Plex Panel'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4049969,Cytokinesis,Observation,outcome_287
343,NCT04409886,Oxygenation Index,O1:0,NA,HBOT (Hyperbaric Oxygen Therapy),Oxygen,Oxygen,['Oxygen'],NA,37393330,Oxygenation index,Measurement,outcome_288
344,NCT04399980,Subjects Alive and Off of Oxygen at Day 14,O1:21|O2:19,O1:12|O2:9,Intervention|Control,Off of Oxygen at Day 14 ,Oxygen,"['Oxygen', 'Alive', 'Off of Oxygen at Day 14']",Time Frame: Day 30 ,19025274,oxygen,Drug,outcome_289
345,NCT04399980,Number of Subjects Alive and Without Respiratory Failure at Day 28,O1:21|O2:19,O1:20|O2:15,Intervention|Control,Without Respiratory Failure at Day 28,Without Respiratory Failure,"['Without Respiratory Failure at Day 28', 'Alive']",Time Frame: 0 to 24 hours post dose ,36311042,Respiratory failure,Meas Value,outcome_290
346,NCT04399980,Mortality at Day 28,O1:21|O2:19,O1:1|O2:3,Intervention|Control,Mortality,Death ,['Mortality'],Time Frame: 7 days post-treatment ,4249566,Mortality rate,Observation,outcome_291
347,NCT04365153,Number of Participants With Clinical Improvement at Day 14,O1:15|O2:14|O3:16,O1:9|O2:7|O3:9,High Dose Intervention|Low Dose Intervention|Control,Improvement,Improvement,"['improvement', 'Improvement']",Time Frame: Day 14 ,4308350,Improvement of status,Observation,outcome_219
348,NCT04365153,All-cause Mortality,O1:15|O2:14|O3:16,O1:1|O2:3|O3:3,High Dose Intervention|Low Dose Intervention|Control,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 21 ,36031791,All-cause deaths since start of event,Measurement,outcome_292
349,NCT04365153,NA,NA,NA,NA,nan,nan,['nan'],NA,NA,NA,NA,outcome_197
350,NCT04491240,Number of Participants With Non-serious and Serious Adverse Events During Trial,O1:10|O2:10|O3:10,O1:0|O2:0|O3:0|O1:0|O2:0|O3:0,EXO-1|EXO-2|Placebo,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. ,45884383,Adverse event,Meas Value,outcome_174
351,NCT04491240,Number of Participants With Non-serious and Serious Adverse During Inhalation Procedure,O1:10|O2:10|O3:10,O1:0|O2:0|O3:0|O1:0|O2:0|O3:0|O1:0|O2:0|O3:0|O1:0|O2:0|O3:0,EXO-1|EXO-2|Placebo,Adverse,Adverse,['Adverse'],Time Frame: Day 1 to end-of-trial (Visit 9) ,45884383,Adverse event,Meas Value,outcome_293
352,NCT04491240,Time to Clinical Recovery (TTCR),O1:10|O2:10|O3:10,O1:13.8|O2:14.8|O3:14.1,EXO-1|EXO-2|Placebo,Recovery,Recovery,['Recovery'],"Time Frame: Baseline, Days 4, 7, 15, 21, and 29 ",31999,Recovered,Cost,outcome_294
353,NCT04491240,C-reactive Protein,O1:10|O2:10|O3:10,O1:78.3|O2:75.4|O3:61.5|O1:5.04|O2:5.83|O3:8.29,EXO-1|EXO-2|Placebo,C-reactive Protein ,CRP,['C-reactive Protein'],Time Frame: 14 days ,4052151,C-reactive protein reaction,Observation,outcome_295
354,NCT04491240,C-reactive Protein,NA,NA,NA,C-reactive Protein ,CRP,['C-reactive Protein'],Time Frame: 14 days ,4052151,C-reactive protein reaction,Observation,outcome_295
355,NCT04491240,C-reactive Protein,NA,NA,NA,C-reactive Protein ,CRP,['C-reactive Protein'],Time Frame: 14 days ,4052151,C-reactive protein reaction,Observation,outcome_295
356,NCT04491240,Lactic Acid Dehydrogenase (LDH),O1:10|O2:10|O3:10,O1:773|O2:732|O3:669|O1:441|O2:365|O3:430,EXO-1|EXO-2|Placebo,Lactic Acid Dehydrogenase (LDH) ,LDH,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days ,35917352,Lactate Dehydrogenase (LDH),Measurement,outcome_296
357,NCT04491240,Lactic Acid Dehydrogenase (LDH),NA,NA,NA,Lactic Acid Dehydrogenase (LDH) ,LDH,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days ,35917352,Lactate Dehydrogenase (LDH),Measurement,outcome_296
358,NCT04491240,Lactic Acid Dehydrogenase (LDH),NA,NA,NA,Lactic Acid Dehydrogenase (LDH) ,LDH,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days ,35917352,Lactate Dehydrogenase (LDH),Measurement,outcome_296
359,NCT04335552,World Health Organization (WHO) Ordinal Scale Measured at 14 Days After Enrollment,O1:1|O2:4|O3:3|O4:2,O1:1|O2:2.5|O3:5.3|O4:4.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'ordinal scale']",NA,4062806,Scale,Device,outcome_297
360,NCT04335552,Number of Participants Who Died During the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:2|O4:1,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Died,Death ,"['Hospitalization', 'hospitalization', 'Hospital']",NA,1314487,Death occurring during the index acute care hospitalization,Observation,outcome_298
361,NCT04335552,Number of Days on Mechanical Ventilation,O1:1|O2:4|O3:3|O4:2,O1:0|O2:5.5|O3:8.67|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']",NA,4230167,Artificial respiration,Procedure,outcome_138
362,NCT04335552,Number of Patients Not Receiving Mechanical Ventilation at Baseline Who Progress to Requiring Mechanical Ventilation During the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:1|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Mechanical Ventilation,Mechanical Ventilation,"['Hospitalization', 'mechanical Ventilation', 'Mechanical Ventilation', 'hospitalization', 'Hospital']",NA,4230167,Artificial respiration,Procedure,outcome_138
363,NCT04335552,WHO Ordinal Scale Measured at 28 Days After Enrollment,O1:1|O2:4|O3:3|O4:2,O1:1|O2:2.8|O3:5.3|O4:4.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'ordinal scale']",NA,2719865|4062806,WHO|Scale,Device|Device,outcome_299
364,NCT04335552,Hospital Length of Stay in Days for the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:6|O2:9|O3:14.7|O4:2.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Hospitalization,Hospitalization,"['Length of Stay', 'Hospitalization', 'hospitalization', 'Hospital']",NA,46236995,Hospital stay duration,Observation,outcome_300
365,NCT04335552,Number of Participants With All-cause Study Medication Discontinuation,O1:1|O2:4|O3:3|O4:2,O1:0|O2:0|O3:0|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Number,Number,[],NA,36309075,Discontinue,Meas Value,outcome_301
366,NCT04335552,Number of Participants With Severe Adverse Events,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:1|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,45884383,Adverse event,Meas Value,outcome_199
367,NCT04898166,Androgenetic Alopecia Frequency in Participants.,O1:220|O2:80,O1:209|O2:37|O1:11|O2:43,220 Hospitalized Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,4339092,Male pattern alopecia,Condition,outcome_302
368,NCT04898166,Severity of Androgenetic Alopecia in Patients,O1:220|O2:37,O1:43|O2:9|O1:177|O2:28,220 Hospitalised Male Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19.,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,4339092,Male pattern alopecia,Condition,outcome_302
369,NCT04898166,300 Participants Mean Age,O1:300,O1:53.06,300 Participants Diagnosed Case of Hospitalized COVID-19. Mean Age be Noted,Age,Age,[],NA,4265453,Age,Observation,outcome_303
370,NCT04898166,Disease Outcome as Assessed by Number of Participants Experiencing Better or Worst Outcome With Respect to Age Group.,O1:220|O2:80,O1:15|O2:10|O1:13|O2:18|O1:13|O2:0|O1:15|O2:4|O1:37|O2:12|O1:20|O2:0|O1:4|O2:11|O1:16|O2:15|O1:10|O2:0|O1:7|O2:4|O1:33|O2:6|O1:37|O2:0,220 Hospitalised Male Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19.,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,37020968,Disease outcome [Type],Observation,outcome_304
371,NCT04898166,Disease Outcome as Assessed by Severity of Androgeneic Alopecia in Males,O1:220,O1:20|O1:52|O1:14|O1:27|O1:5|O1:25|O1:4|O1:73,220 Hospitalised Male Subjects. Their Disease Outcomes in Relation to Severity of AGA,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,37020968,Disease outcome [Type],Observation,outcome_304
372,NCT04898166,Disease Outcome be Assessed by Severity of Androgenetic Alopecia in Females,O1:80,O1:9|O1:3|O1:4|O1:17|O1:3|O1:8|O1:14|O1:3|O1:9|O1:3|O1:0|O1:7,80 Hospitalised Female Participants. Their Disease Outcomes in Relation to Severity of AGA,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,4339092,Male pattern alopecia,Condition,outcome_302
373,NCT04898166,Covid-19 Disease Outcomes Correlating With Severity of Androgenetic Alopecia and Age in Females.,O1:37|O2:43,O1:0|O2:4|O1:7|O2:5|O1:00|O2:00|O1:3|O2:7|O1:8|O2:10|O1:00|O2:00|O1:6|O2:5|O1:6|O2:9|O1:00|O2:00|O1:3|O2:1|O1:4|O2:2|O1:00|O2:00,37 Hospitalised Female Participants of COVID-19 With Androgenetic Alopecia|43 Hospitalised Female Participants of COVID-19 Without Androgenetic Alopecia With Respect to Age,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,37020968,Disease outcome [Type],Observation,outcome_304
374,NCT04898166,Covid-19 Disease Outcomes Correlating With Severity of Androgenetic Alopecia and Age in Males,O1:43|O2:177,O1:4|O2:11|O1:10|O2:27|O1:6|O2:14|O1:6|O2:9|O1:5|O2:8|O1:3|O2:10|O1:1|O2:3|O1:2|O2:14|O1:2|O2:8|O1:0|O2:7|O1:1|O2:32|O1:3|O2:34,43 Hospitalised Male Participants Diagnosed Case of COVID-19 With HNS <3.|177 Hospitalised Male Participants Diagnosed Case of COVID-19 With HNS >3-7,Androgenetic Alopecia,Androgenetic Alopecia,[],NA,37020968,Disease outcome [Type],Observation,outcome_304
375,NCT04898166,Hospital Disease Outcome in 300 Subjects. Having 220 Males and 80 Females,O1:220|O2:80,O1:41|O2:28|O1:72|O2:16|O1:30|O2:26|O1:77|O2:10,220 Hospitalized Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19,Hospitalization,Hospitalization,['Hospital'],NA,37020968,Disease outcome [Type],Observation,outcome_305
376,NCT04898166,"Comorbidities Including Diabetes Mellitus, Smoking, Hypertension, Ischemic Heart Disease, Chronic Kidney Disease, Obesity in Participants",O1:300,O1:29|O1:6|O1:4|O1:12|O1:15|O1:8|O1:5|O1:9|O1:20|O1:6|O1:1|O1:15|O1:8|O1:6|O1:4|O1:9|O1:17|O1:1|O1:2|O1:7|O1:10|O1:6|O1:1|O1:12|O1:26|O1:1|O1:9|O1:18|O1:18|O1:1|O1:5|O1:9,300 Participants Diagnosed Case of Hospitalized COVID-19 Outcome in Relation to Comorbidities,Comorbidities,Comorbidities,[],NA,4160039,Co-morbid conditions,Condition,outcome_306
377,NCT04898166,Disease Duration of COVID-19,O1:300,O1:11.79,300 Participants Diagnosed Case of Hospitalized COVID-19 Disease Duration,Disease Duration,Disease Duration,[],NA,37311061,COVID-19,Condition,outcome_307
378,NCT04475588,One-month Mortality Rate Between the Two Arms,O1:20|O2:10,O1:0|O2:3,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Mortality,Death ,"['Mortality Rate', 'Mortality']","Time Frame: Days 4, 7, 14 and 21 ",4249566,Mortality rate,Observation,outcome_308
379,NCT04475588,Lung Function Assessment - Proportion of the Patients With Stable or Improved SpO2 Without Increasing FiO2,O1:20|O2:10,O1:17|O2:5|O1:19|O2:7|O1:20|O2:7|O1:20|O2:7,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),SpO2,SpO2,"['SpO2', 'Improved', 'Lung Function Assessment - Proportion']",Time Frame: Days 1 - 29 ,4052083,Measurement of respiratory function,Measurement,outcome_309
380,NCT04475588,Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV),O1:20|O2:10,O1:0|O2:2,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV) ,IMV,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV)']",Time Frame: Day 1 through Day 29 ,42530690,Invasive mechanical ventilation by intubation or tracheostomy,Meas Value,outcome_310
381,NCT04475588,Reduction in Proportion of Patients on Non-invasive Ventilation,O1:20|O2:10,O1:5|O2:4|O1:0|O2:0|O1:5|O2:1|O1:5|O2:1|O1:5|O2:1,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Reduction in Proportion of Patients on Non-invasive Ventilation ,Reduction in Proportion of Patients on Non-invasive Ventilation ,['Reduction in Proportion of Patients on Non-invasive Ventilation'],Time Frame: Baseline to Day 29 ,4177224,Noninvasive ventilation,Procedure,outcome_311
382,NCT04475588,Lung Function Assessment - Proportion of Patients With Stable PaO2 Without Increasing FiO2,O1:20|O2:10,O1:18|O2:6|O1:19|O2:7|O1:20|O2:7|O1:20|O2:7,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Lung Function Assessment - Proportion,Lung Function Assessment - Proportion,['Lung Function Assessment - Proportion'],"Time Frame: Baseline, Day 15, Day 29 ",4052083,Measurement of respiratory function,Measurement,outcome_312
383,NCT04475588,Reduction in Proportion of Patients- Invasive Mechanical Ventilation,O1:0|O2:0,NA,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Invasive Mechanical Ventilation ,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation']",Time Frame: Up to 28 days ,44790095,Invasive ventilation,Procedure,outcome_313
384,NCT04475588,Reduction in Proportion of Patients-High Flow Nasal Oxygen,O1:0|O2:0,NA,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),High Flow Nasal Oxygen ,High Flow Nasal Oxygen ,"['Oxygen', 'High Flow Nasal Oxygen']",Time Frame: Day 1 through Day 29 ,4139525,High flow oxygen nasal cannula,Device,outcome_314
385,NCT04475588,Mean Change From Baseline in Ferritin,O1:20|O2:10|O1:18|O2:7|O1:15|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-117.8|O2:-87.05|O1:-713.9|O2:-209.6|O1:-780.9|O2:4238|O1:-479.3|O2:-234.4,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Ferritin,Ferritin,"['Mean Change', 'Ferritin']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4176561,Ferritin measurement,Measurement,outcome_315
386,NCT04475588,Mean Change From Baseline in LDH,O1:20|O2:10|O1:18|O2:7|O1:15|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-134|O2:-44.29|O1:-195.8|O2:-195.2|O1:-308.1|O2:155.3|O1:-212.7|O2:-97,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),LDH,LDH,"['LDH', 'Mean Change']",Time Frame: Day 11 ,4139809,Changed status,Observation,outcome_316
387,NCT04475588,Mean Change From Baseline in CRP (C-reactive Protein),O1:20|O2:10|O1:18|O2:8|O1:16|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-61.69|O2:-103.6|O1:-81.65|O2:-107.2|O1:-90.99|O2:-127.5|O1:-103.2|O2:-127.6,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),CRP (C-reactive Protein),CRP,"['C-reactive Protein', 'CRP (C-reactive Protein)', 'Mean Change']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4208414,C-reactive protein measurement,Measurement,outcome_110
388,NCT04475588,Mean Change From Baseline D-Dimer,O1:20|O2:10|O1:18|O2:7|O1:12|O2:4|O1:11|O2:2|O1:3|O2:2,O1:-1.43|O2:2.30|O1:-0.45|O2:-0.68|O1:-4.35|O2:8.54|O1:-2.63|O2:-0.35,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),D-dimer,D-dimer,"['D-dimer', 'Mean Change']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",37393605,D-dimer level,Measurement,outcome_317
389,NCT04475588,Mean Change From Baseline of Absolute Lymphocyte Count,O1:20|O2:10|O1:20|O2:8|O1:16|O2:5|O1:11|O2:3|O1:4|O2:2,O1:119.95|O2:45.88|O1:421.25|O2:142.60|O1:701.55|O2:10.00|O1:719.75|O2:85.00,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Lymphocyte Count,Lymphocyte Count,"['Mean Change', 'Lymphocyte Count']","Time Frame: Baseline, Day 15, Day 29 ",37393858,Lymphocyte count,Measurement,outcome_23
390,NCT04475588,"Biomarkers (IL-6, TNF-a)",O1:18|O2:10|O1:18|O2:10|O1:18|O2:10|O1:13|O2:4|O1:13|O2:4|O1:18|O2:10|O1:18|O2:10|O1:13|O2:4|O1:13|O2:4,O1:159.09|O2:162.16|O1:42.98|O2:211.52|O1:311.3|O2:310.4|O1:91.0|O2:316.8|O1:43.64|O2:11.26|O1:8.87|O2:39.19|O1:68.0|O2:107.8|O1:50.1|O2:185.0,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),TNF,TNF,"['TNF', 'IL-6']",Time Frame: Pre-SSI to 3-month follow-up ,4203714,Maker,Observation,outcome_318
